artist_name,album_name,album_id,album_release_date,album_link,album_uri
BTS,skool luv affair,3fxTcARqBOsh0E7VzNNDQu,2015-03-18,https://open.spotify.com/album/3fxTcARqBOsh0E7VzNNDQu,spotify:album:3fxTcARqBOsh0E7VzNNDQu
BTS,wake up (standard edition),2bXp5bEM5sgZdIznTesQZb,2014-12-24,https://open.spotify.com/album/2bXp5bEM5sgZdIznTesQZb,spotify:album:2bXp5bEM5sgZdIznTesQZb
BTS,wake up 通常盤,7bypIG17C3n1BlftyaSJdE,2014-12-24,https://open.spotify.com/album/7bypIG17C3n1BlftyaSJdE,spotify:album:7bypIG17C3n1BlftyaSJdE
BTS,dark&wild,7Kmyo8nlRandkooEQgcuxg,2014-08-20,https://open.spotify.com/album/7Kmyo8nlRandkooEQgcuxg,spotify:album:7Kmyo8nlRandkooEQgcuxg
BTS,dark & wild,7FxxU3EP37uMsZf8FilkDR,2014-08-20,https://open.spotify.com/album/7FxxU3EP37uMsZf8FilkDR,spotify:album:7FxxU3EP37uMsZf8FilkDR
BTS,skool luv affair (special edition),74mP0wS6SgwNWipY1nKUB9,2014-05-14,https://open.spotify.com/album/74mP0wS6SgwNWipY1nKUB9,spotify:album:74mP0wS6SgwNWipY1nKUB9
BTS,skool luv affair (special edition),1huB68W1M4kLz4VLup4pl6,2014-05-14,https://open.spotify.com/album/1huB68W1M4kLz4VLup4pl6,spotify:album:1huB68W1M4kLz4VLup4pl6
BTS,skool luv affair,4MQ0s7Sl5ngYL7baZc57yY,2014-02-12,https://open.spotify.com/album/4MQ0s7Sl5ngYL7baZc57yY,spotify:album:4MQ0s7Sl5ngYL7baZc57yY
BTS,skool luv affair,5DIb84mvBHZnYFpIsdt2tL,2014-02-12,https://open.spotify.com/album/5DIb84mvBHZnYFpIsdt2tL,spotify:album:5DIb84mvBHZnYFpIsdt2tL
BTS,"o!rul8,2?",61SRnLH3UgUvmY4gzsQSne,2013-09-11,https://open.spotify.com/album/61SRnLH3UgUvmY4gzsQSne,spotify:album:61SRnLH3UgUvmY4gzsQSne
BTS,"o!rul8,2?",2QsnP361GryLk6W3HPHwgn,2013-09-11,https://open.spotify.com/album/2QsnP361GryLk6W3HPHwgn,spotify:album:2QsnP361GryLk6W3HPHwgn
BTS,"o!rul8,2?",7xp8NlqiWjtSJ8oFvyShB2,2013-09-11,https://open.spotify.com/album/7xp8NlqiWjtSJ8oFvyShB2,spotify:album:7xp8NlqiWjtSJ8oFvyShB2
BTS,2 cool 4 skool,3vXKliTwkOYnwDZKh6HgfR,2013-06-12,https://open.spotify.com/album/3vXKliTwkOYnwDZKh6HgfR,spotify:album:3vXKliTwkOYnwDZKh6HgfR
BTS,2 cool 4 skool,6eo69KlZEnkxsIPPgMgr4A,2013-06-12,https://open.spotify.com/album/6eo69KlZEnkxsIPPgMgr4A,spotify:album:6eo69KlZEnkxsIPPgMgr4A
BTS,2 cool 4 skool,26z5WolFltYgVMuuJ3c0Am,2013-06-12,https://open.spotify.com/album/26z5WolFltYgVMuuJ3c0Am,spotify:album:26z5WolFltYgVMuuJ3c0Am
