danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,analysis_url
0.719,0.758,2,-5.167,0,0.0851,0.137,0.0,0.129,0.49,147.023,198261,4,https://api.spotify.com/v1/audio-analysis/6XvR5NoPn6hAQ4XvJW18Z9
0.781,0.762,10,-5.188,0,0.0626,0.0222,0.0,0.121,0.86,110.042,180221,4,https://api.spotify.com/v1/audio-analysis/4ddjdyy29ADwNGdSz0ERef
0.674,0.64,0,-5.139,0,0.0339,0.151,0.0,0.0925,0.664,99.908,234458,4,https://api.spotify.com/v1/audio-analysis/2hFvzG33VpV8gsCs1YHMb3
0.643,0.667,0,-6.993,0,0.152,0.0433,0.0,0.0904,0.485,145.999,217404,4,https://api.spotify.com/v1/audio-analysis/6piu4ClbvlVI4GYoJ6CleG
0.583,0.817,9,-5.146,0,0.0987,0.118,0.0,0.338,0.438,105.936,246381,4,https://api.spotify.com/v1/audio-analysis/6xmllRxAVXF6il4BOO7GNG
0.72,0.824,10,-5.086,0,0.128,0.0394,0.0,0.0509,0.333,165.998,225012,4,https://api.spotify.com/v1/audio-analysis/3VbsXTdxBl6IavGjFZbl3R
0.566,0.548,1,-6.456,1,0.0579,0.0802,0.0,0.11,0.196,157.999,250296,4,https://api.spotify.com/v1/audio-analysis/6jyoGetvIVKYPyjSzfnLFz
0.589,0.696,11,-7.981,1,0.0725,0.017,0.0,0.0808,0.332,134.953,233266,4,https://api.spotify.com/v1/audio-analysis/6N1dT3gHkwIXxLD5NW5kjM
0.55,0.747,1,-5.211,1,0.0407,0.0668,0.0,0.0536,0.648,79.98,199339,4,https://api.spotify.com/v1/audio-analysis/04QxgGcJfmLu0VdUtpJUjm
0.703,0.646,6,-6.658,1,0.0596,0.0104,0.0,0.191,0.64,141.87,208590,4,https://api.spotify.com/v1/audio-analysis/0xOPxP77qyn7yfU8xdFBlF
0.661,0.84,0,-4.805,1,0.116,0.00485,0.0,0.287,0.524,91.457,237540,4,https://api.spotify.com/v1/audio-analysis/4ZqTbapP8Z2YC9Kbg9mlkY
0.526,0.575,9,-5.215,0,0.0309,0.225,0.0,0.108,0.19,84.047,261543,4,https://api.spotify.com/v1/audio-analysis/1UBQ9goca5pG61ewPL4NqG
0.808,0.903,0,-3.106,1,0.0958,0.0121,0.000233,0.0993,0.473,116.988,196199,4,https://api.spotify.com/v1/audio-analysis/2qtD6gCVY6eP8oRnJyiscg
0.591,0.848,9,-4.397,0,0.0828,0.137,0.0,0.372,0.386,105.922,246816,4,https://api.spotify.com/v1/audio-analysis/5ULNZsgJp1FqZ6JyKJUAFH
0.469,0.87,9,-4.475,0,0.342,0.0278,0.0,0.313,0.652,86.622,171023,4,https://api.spotify.com/v1/audio-analysis/2BgZrbbAZxSnyE7U5efVrG
0.645,0.862,11,-4.757,0,0.0965,0.0923,0.0,0.192,0.798,119.991,229773,4,https://api.spotify.com/v1/audio-analysis/1ZpFxOhpzT1MDCq7zjtOV1
0.638,0.703,7,-7.874,1,0.444,0.0104,0.0,0.132,0.261,105.766,226321,4,https://api.spotify.com/v1/audio-analysis/1OqkHhYOcqfwYx7LqlAE8Y
0.608,0.47,8,-6.73,1,0.0428,0.226,0.0,0.0963,0.241,81.0,227275,4,https://api.spotify.com/v1/audio-analysis/5oXdWFCLkBX5XmGbTrlK40
0.502,0.91,7,-2.769,1,0.107,0.04,0.0,0.319,0.588,176.084,249215,4,https://api.spotify.com/v1/audio-analysis/2SytGgja3g2R2N9lzV6n3E
0.385,0.798,9,-6.439,0,0.483,0.115,0.0,0.181,0.141,149.756,259821,4,https://api.spotify.com/v1/audio-analysis/2Nib4r0saYQf2pUV4RFDhl
0.719,0.758,2,-5.167,0,0.0851,0.137,0.0,0.129,0.49,147.023,198261,4,https://api.spotify.com/v1/audio-analysis/3bkkMZEAhx7rTVz1C0itRQ
0.781,0.762,10,-5.188,0,0.0626,0.0222,0.0,0.121,0.86,110.042,180221,4,https://api.spotify.com/v1/audio-analysis/0ono6UCNVZ1XqOm6j78Blu
0.674,0.64,0,-5.139,0,0.0339,0.151,0.0,0.0925,0.664,99.908,234458,4,https://api.spotify.com/v1/audio-analysis/4vTgx6h4seHvkuFh84JXYP
0.643,0.667,0,-6.993,0,0.152,0.0433,0.0,0.0904,0.485,145.999,217404,4,https://api.spotify.com/v1/audio-analysis/3op7HNwLli54MBjFGzIlZO
